"Location","Age group","TimeFrame","EnteringNumber","ExitingNumber","AdoptionNumber","ChildPopulation"
"California","16 to 20",2016-01-01,3708,6981,118,1557000
"California","<1",2012-01-01,5454,1343,169,496845
"California","1 to 5",2012-01-01,9573,10719,3641,2535409
"California","6 to 10",2012-01-01,6198,6260,1399,2514729
"California","11 to 15",2012-01-01,6625,5118,585,2566679
"California","16 to 20",2012-01-01,3841,6840,144,1637306
"California","<1",2014-01-01,6131,1327,155,499234
"California","1 to 5",2014-01-01,10038,10497,3418,2504455
"California","6 to 10",2014-01-01,6881,6449,1291,2558875
"California","11 to 15",2014-01-01,6567,4662,496,2530096
"California","16 to 20",2014-01-01,4069,7382,110,1580196
"California","<1",2011-01-01,5384,1432,170,509037
"California","1 to 5",2011-01-01,9884,10707,3436,2534965
"California","11 to 15",2011-01-01,7101,5550,610,2588150
"California","16 to 20",2011-01-01,3774,7759,135,1661419
"California","6 to 10",2011-01-01,6027,6362,1359,2508907
"California","<1",2020-01-01,5344,1005,112,432762
"California","16 to 20",2020-01-01,2219,3328,137,1559495
"California","11 to 15",2020-01-01,4694,4046,621,2592277
"California","6 to 10",2020-01-01,5204,5447,1294,2448175
"California","1 to 5",2020-01-01,7282,8766,3397,2322114
"California","<1",2015-01-01,6073,1392,207,500915
"California","1 to 5",2015-01-01,9540,10885,3765,2507074
"California","6 to 10",2015-01-01,6656,6942,1474,2551552
"California","11 to 15",2015-01-01,6060,4782,522,2527821
"California","16 to 20",2015-01-01,3867,7500,110,1561617
"California","<1",2010-01-01,5366,1530,187,495747
